"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"12";"100n";"C-EUC0603K";"C0603K";"C1, C2, C3, C6, C7, C8, C9, C10, C12, C22, C23, C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"13";"10k";"R-US_R0805";"R0805";"R1, R3, R5, R12, R13, R15, R16, R19, R20, R21, R25, R38, R41";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"10n";"C-EUC0805K";"C0805K";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"6";"10u";"C-EUC0805K";"C0805K";"C25, C26, C27, C28, C29, C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"10u";"CPOL-EUA/3216-18W";"A/3216-18W";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"501-9324";"";"";"C";"";
"1";"18k";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"1k";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"3";"1k5";"R-US_R0805";"R0805";"R26, R40, R43";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"1n";"C-EUC0805K";"C0805K";"C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"1p";"C-EUC0402K";"C0402K";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"1p5";"C-EUC0402K";"C0402K";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"22k";"R-US_R0805";"R0805";"R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"24LC024SN";"24LC024SN";"SO-08";"IC10";"Serial EEPROM";"";"";"";"";"";"";"";"";"MICROCHIP";"24LC024/SN";"1659744";"92C7092";"";"";"";"";"";
"1";"2n2";"C-EUC0402K";"C0402K";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"2n7";"INDUCTOR";"C0402K";"L3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"33n";"C-EUC0402K";"C0402K";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"39k";"R-US_R0805";"R0805";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"3n9";"INDUCTOR";"C0402K";"L2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4k7";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
