"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP18";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_GND";
"2";"TPB1,27";"TPB1,27";"B1,27";"TP25, TP26";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_L_DX";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP8";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_NRF_CE";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP6";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_NRF_CS";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP5";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_NRF_IRQ";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP1";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SCL";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP2";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SDA";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP7";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SPI1_SCK";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP4";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SPI1_SDI";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP3";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SPI1_SDO";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP24";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SYS_EN";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP21";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SYS_EN_MAX";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP20";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_SYS_EN_PIC";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP19";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_VCCINT";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP15";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_VUSB";
"1";"TPS63001DRCT";"TPS63000DRCT";"SON50P300X300X100-11N";"IC11";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"";"TPS63000DRCT";"";"https://www.arrow.com/en/products/tps63000drct/texas-instruments";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"1mm";"Texas Instruments";"TPS63000DRCT";"";"";"";"";"";"0389334P";"";"http://uk.rs-online.com/web/p/products/0389334P";"";"";
"1";"TPS63002DRCT";"TPS63000DRCT";"SON50P300X300X100-11N";"IC12";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"";"TPS63000DRCT";"";"https://www.arrow.com/en/products/tps63000drct/texas-instruments";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"1mm";"Texas Instruments";"TPS63000DRCT";"";"";"";"";"";"0389334P";"";"http://uk.rs-online.com/web/p/products/0389334P";"";"";
"2";"TSW-102-07-G-S";"TSW-102-07-G-S";"TSW-102-XX-G-S";"X1, X2";"THROUGH-HOLE .025" SQ POST HEADER";"";"";"";"";"";"";"";"";"Samtec Inc.";"TSW-102-07-G-S";"";"";"";"";"";"";"";"";
"2";"VLF4012AT-2R2M1R5";"LPS3015-222MRB";"LPS3015";"L4, L5";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"";"LPS3015-222MRB";"";"";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"mm";"COILCRAFT";"LPS3015-222MRB";"";"";"";"";"";" 644-1952";"";"";"";"";
